spec,site,raw.mat,maxl,maxw,maxth,maxstl,maxstw,spec.x
554,41cp12,quartzite,25.4,12.18,3.82,5.75,3.84,554
555,41cp12,quartzite,22.92,12.87,3.54,3.71,3.69,555
556,41cp12,chert,24.09,11.87,3.61,5.15,4.78,556
559,41cp12,quartzite,25.01,10.57,3.5,5.84,3.88,559
562,41cp12,quartzite,22.1,10.45,3.47,3.77,3.43,562
565,41cp12,chert,20.31,10.53,3.08,2.01,3.07,565
591,41cp12,chert,25.49,13.37,4.42,7.04,4.95,591
646,41cp5,chert,16.37,10.46,2.63,3.85,4.03,646
649,41cp5,quartzite,23.38,13.88,4.11,7.33,5.54,649
651,41cp5,chert,22.86,13.84,4.61,6.16,5.02,651
652,41cp5,chert,22.51,12.67,3.37,6.33,4.39,652
653,41cp5,chert,27.55,17.05,3.08,6.83,4.6,653
654,41cp5,chert,17.01,10.9,2.35,4.64,3.64,654
655,41cp5,chert,26.86,13.06,2.5,6.1,3.99,655
656,41cp5,chert,25.79,12.52,2.96,5.43,3.97,656
657,41cp5,chert,27.36,12.41,3.04,6.56,4.26,657
659,41cp5,chert,23.1,11.42,2.14,4.74,4.21,659
660,41cp5,chert,20.23,9.64,1.89,5.7,2.66,660
661,41cp5,chert,21.73,10.67,2.27,4.91,3.13,661
665,41cp12,quartzite,27.34,15.77,4.1,4.69,4.6,665
677,41cp20,chert,24.72,13.7,2.52,6.98,3.76,677
678,41cp20,quartzite,24.98,13.33,3.26,4.19,3.54,678
na49-1,41na49,s.wd,47.74,15.14,4.52,6.82,6.22,na49-1
na49-10,41na49,s.wd,22.88,12.13,3.68,5.73,5.49,na49-10
na49-11,41na49,s.wd,24.09,12.52,3.27,5.36,4.81,na49-11
na49-12,41na49,s.wd,21.41,10.31,3.48,4.64,3.82,na49-12
na49-13,41na49,s.wd,24.84,11.21,3.51,5.19,4.97,na49-13
na49-14,41na49,s.wd,21.92,9.35,2.62,5.22,4.85,na49-14
na49-2,41na49,s.wd,32.49,12.78,3.8,6.8,4.78,na49-2
na49-3,41na49,s.wd,27.72,13.05,4.19,5.99,5.88,na49-3
na49-4,41na49,s.wd,26.2,10.6,3.3,4.67,4.92,na49-4
na49-7,41na49,s.wd,24.25,12.01,2.92,6.01,4.93,na49-7
na49-8,41na49,s.wd,22.06,14.51,2.92,5.67,5.17,na49-8
na49-9,41na49,s.wd,25.44,13.86,3.44,4.74,4.81,na49-9
